NESTBOX	AREA	SEASON	COMB	GREEN_PLANT_PARTS	FRUIT_PEEL_OR_PEEL	BRAMBLES	OTHER_SEEDS	STAMEN_	HEMIPTERA__	DIPTERA	DERMAPTERA	HYMENOPTERA	COLEOPTERA	GASTROPODA	DIPLOPODA	ORTHOPTERA	ISOPODA	ARANEAE	OPILIONES	AVES	MAMMALIA	HAIRS	UNDETERMINED	PSEUDOSCORPIONES
1	Woody	1	Nestbox1_Woody_Seasons1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
1	Woody	1	Nestbox1_Woody_Seasons1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0
1	Woody	1	Nestbox1_Woody_Seasons1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0
2	Woody	1	Nestbox2_Woody_Seasons1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0
2	Woody	1	Nestbox2_Woody_Seasons1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
2	Woody	1	Nestbox2_Woody_Seasons1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1
3	Woody	1	Nestbox3_Woody_Seasons1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0
3	Woody	1	Nestbox3_Woody_Seasons1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0
4	Woody	1	Nestbox4_Woody_Seasons1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
5	Woody	1	Nestbox5_Woody_Seasons1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
6	Woody	1	Nestbox6_Woody_Seasons1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
8	Woody	1	Nestbox8_Woody_Seasons1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	1	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0
9	Woody	1	Nestbox9_Woody_Seasons1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
10	Woody	1	Nestbox10_Woody_Seasons1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
10	Woody	1	Nestbox10_Woody_Seasons1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
10	Woody	1	Nestbox10_Woody_Seasons1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0
10	Woody	1	Nestbox10_Woody_Seasons1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
10	Woody	1	Nestbox10_Woody_Seasons1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
